Class Name, Initialization Kind, Reason for Initialization
com.arjuna.ats.internal.arjuna.FormatConstants, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.Header, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.TxLogWritePersistenceRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.ActivationRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.CadaverRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.DisposeRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.LastResourceRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.PersistenceRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.abstractrecords.RecoveryRecord, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.common.UidHelper, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.coordinator.CheckedActionFactoryImple, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.coordinator.ReaperElement, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.coordinator.ReaperElementManager, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.coordinator.ReaperThread, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.coordinator.ReaperWorkerThread, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.FileSystemStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.FileSystemStore$FileFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
