timestamp	route	count	firstDetail
1784813650382	/basquin/search?q=entry	2	latency: 518ms > 250ms
1784813650516	/roller-ui/register.rol	1	heapDelta: 2022KB > 512KB
1784813650661	/basquin/entry/bench-entry-37	1	heapDelta: 6297KB > 512KB
1784813650798	/basquin/?page=3	1	heapDelta: 1058KB > 512KB
1784813650932	/roller-ui/register.rol	1	heapDelta: 1544KB > 512KB
1784813651998	/roller-ui/login.rol	1	heapDelta: 1584KB > 512KB
1784813652227	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1584KB > 512KB
1784813652415	/basquin/feed/entries/rss?cat=Benchmarks	1	heapDelta: 8570KB > 512KB
1784813652555	/roller-ui/login.rol	1	heapDelta: 4880KB > 512KB
1784813652784	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1447KB > 512KB
1784813652969	/roller-ui/login.rol	1	heapDelta: 1684KB > 512KB
1784813653226	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1627KB > 512KB
1784813653962	/basquin/search?q=venx	2	latency: 507ms > 250ms
1784813654730	/basquin/search?q=nzoj	2	latency: 507ms > 250ms
1784813654865	/roller-ui/register.rol	1	heapDelta: 2898KB > 512KB
1784813655003	/basquin/date/20260715	1	heapDelta: 1741KB > 512KB
1784813655292	/basquin/date/202607	1	heapDelta: 9862KB > 512KB
1784813655559	/roller-ui/login.rol	1	heapDelta: 1644KB > 512KB
1784813655788	/roller-ui/menu.rol	1	heapDelta: 1600KB > 512KB
1784813655867	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1681KB > 512KB
1784813655947	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1638KB > 512KB
1784813656026	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1707KB > 512KB
1784813656108	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1616KB > 512KB
1784813656757	/basquin/search?q=chew	2	latency: 518ms > 250ms
1784813656941	/basquin/feed/entries/atom	1	heapDelta: 16441KB > 512KB
1784813657590	/basquin/search?q=lucene	2	latency: 517ms > 250ms
1784813657725	/roller-ui/login.rol	1	heapDelta: 4862KB > 512KB
1784813657954	/roller-ui/menu.rol	1	heapDelta: 1684KB > 512KB
1784813658061	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1701KB > 512KB
1784813658141	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1733KB > 512KB
