Class Name, Initialization Kind, Reason for Initialization
com.fasterxml.jackson.annotation.JsonManagedReference, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonManagedReference[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonMerge, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonMerge[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonProperty, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonProperty$Access, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonProperty$Access[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonPropertyDescription, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonPropertyDescription[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonPropertyOrder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonPropertyOrder[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonProperty[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonRawValue, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonRawValue[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonRootName, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonRootName[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonSerializeAs, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonSerializeAs[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonSetter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonSetter$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonSetter[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonTypeId, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeId[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonTypeInfo, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeInfo$As, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeInfo$As[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonTypeInfo$Id, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeInfo$Id[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonTypeInfo$None, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeInfo$Value, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonTypeInfo[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonUnwrapped, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonUnwrapped[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonValue, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonValue[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.JsonView, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.JsonView[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.Nulls, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.Nulls[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.ObjectIdGenerator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdGenerator$IdKey, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdGenerators, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdGenerators$Base, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdGenerators$None, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdGenerators$PropertyGenerator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.ObjectIdResolver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.OptBoolean, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.annotation.OptBoolean[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.annotation.SimpleObjectIdResolver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.Base64Variant, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.Base64Variants, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.ErrorReportConfiguration, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.FormatFeature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.FormatFeature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JacksonException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonEncoding, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonEncoding[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonFactory, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonFactory$Feature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonFactory$Feature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonGenerationException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonGenerator, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonGenerator$Feature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonGenerator$Feature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonLocation, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParseException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParser$Feature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParser$Feature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonParser$NumberType, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParser$NumberTypeFP, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonParser$NumberTypeFP[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonParser$NumberType[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.JsonProcessingException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonStreamContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonToken, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonToken$1, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.JsonToken[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.ObjectCodec, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.PrettyPrinter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.SerializableString, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.SerializableString[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.StreamReadCapability, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.StreamReadCapability[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.StreamReadConstraints, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.StreamReadFeature, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.StreamReadFeature[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.StreamWriteConstraints, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TSFBuilder, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TokenStreamFactory, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TreeCodec, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TreeNode, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.TreeNode[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.Version, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.Versioned, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.base.GeneratorBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.base.ParserBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
