Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.configure.config.ConfigurationMemberInfo[][], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.config.ConfigurationMethod, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationType, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038465248, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038465470, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x00000000384656b8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038465900, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038465b28, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038465d88, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038475f58, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038476198, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x00000000384763d8, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038476618, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038476858, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038476a98, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038490b60, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ConfigurationType$$Lambda/0x0000000038490da0, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.FieldInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.FieldInfo[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.config.FieldInfo[][], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration$$Lambda/0x0000000038492238, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration$$Lambda/0x0000000038492460, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration$BundleConfiguration, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration$Predicate, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.ResourceConfiguration$ResourceEntry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.configure.config.SignatureUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.BaseProcessPropertiesSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CPUFeatureAccessImpl, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.CalleeSavedRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.DumpThreadStacksSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.DumpThreadStacksSupport$DumpAllStacksOperation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.ForeignSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FrameAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.FunctionPointerHolder, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.GCRelatedMXBeans, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.InvalidMethodPointerHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentAccess, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArgumentParser$OptionValueType, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateArguments, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.IsolateListenerSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateListenerSupport$IsolateListener, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.IsolateListenerSupport$IsolateListener[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.Isolates, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$EnterAttachThreadForShutdown, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$EnterCreateIsolateWithCArgumentsPrologue, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMainWrapper$JavaMainSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.JavaMemoryUtil, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.LibCHelper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.MissingRegistrationSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.MissingRegistrationUtils, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.MissingRegistrationUtils$$Lambda/0x0000000037f5fdd0, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.core.MissingRegistrationUtils$$Lambda/0x0000000038467448, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
